lo/gos	lo/gos	n-s---mn-
me/n	me/n	g--------
a)rxai=os	a)rxai=os	n-s---mn-
a)nqrw/pwn	a)/nqrwpos	n-p---mg-
w(s	w(s	c--------
ou)k	ou)	x--------
a)\n	a)/n	g--------
a)\n	a)/_n	c--------
a)\n	a)/n	r--------
a)\n	a)/n	c--------
e)kma/qois	e)kmanqa/nw	v2saoa---
brotw=n	broto/s	n-p---mg-
pri\n	pri/n	x--------
a)\n	a)/n	g--------
a)\n	a)/_n	c--------
a)\n	a)/n	r--------
a)\n	a)/n	c--------
qa/nh|	qnh/skw	v2sase---
qa/nh|	qnh/skw	v3sasa---
tis	tis	n-s----n-
ou)/	ou)	x--------
ei)	ei)	c--------
xrhsto\s	xrhsto/s	n-s---mn-
ou)/	ou)	x--------
ei)/	ei)	c--------
tw|	tis	n-s----d-
kako/s	kako/s	n-s---mn-
e)gw\	e)gw/	n1s------
de\	de/	g--------
to\n	to/n	l-s---ma-
e)mo/n	e)mo/s	n-s---ma-
e)mo/n	e)mo/s	n-s---n--
kai\	kai/	c--------
pri\n	pri/n	x--------
ei)s	ei)s	r--------
molei=n	blw/skw	v--ana---
dustuxh=	dustuxh/s	n-p---n--
dustuxh=	dustuxh/s	n-d------
dustuxh=	dustuxh/s	n-s----a-
te	te	g--------
kai\	kai/	c--------
baru/n	baru/s	n-s---ma-
h(/tis	o(/stis	n-s---fn-
patro\s	patro/s	n-s---mg-
me\n	me/n	g--------
e)n	e)n	r--------
e)n	ei)s	r--------
do/moisin	do/mos	n-p---md-
e)n	e)n	r--------
e)n	ei)s	r--------
numfei/wn	numfei_/wn	n-p---fg-
numfei/wn	numfei_/wn	n-p----g-
numfei/wn	numfei_/wn	n-p----g-
o)/knon	o)/knos	n-s---ma-
a)/lgiston	a)/lgistos	n-s---ma-
a)/lgiston	a)/lgistos	n-s---n--
a)/lgiston	a)lgi/wn	n-s---ma-
a)/lgiston	a)lgi/wn	n-s---n--
e)/sxon	e)/xw	v3paia---
e)/sxon	e)/xw	v1saia---
ei)/	ei)	c--------
tis	tis	n-s----n-
gunh/	gunh/	n-s---fn-
mnhsth\r	mnhsth/r	n-s---mn-
ga\r	ga/r	g--------
h)=n	ei)mi/	v1s-ia---
h)=n	ei)mi/	v3p-ia---
h)=n	ei)mi/	v3s-ia---
h)=n	h)mi/	v1s-ia---
moi	e)gw/	n1s----d-
potamo/s	potamo/s	n-s---mn-
le/gw	le/gos	n-d------
le/gw	le/gos	n-s----g-
le/gw	le/gw1	v1spsa---
le/gw	le/gw1	v1spia---
le/gw	le/gw2	v1spsa---
le/gw	le/gw2	v1spia---
le/gw	le/gw3	v1spsa---
le/gw	le/gw3	v1spia---
o(/s	o(/s	n-s---mn-
e)n	e)n	r--------
e)n	ei)s	r--------
trisi\n	trisi/n	n-p----d-
morfai=sin	morfh/	n-p---fd-
e)ch/|tei	e)caite/w	v3s-ia---
patro/s	path/r	n-s---mg-
foitw=n	foi/ths	n-p---mg-
e)nargh\s	e)nargh/s	n-s----n-
tau=ros	tau=ros	n-s---mn-
ai)o/los	ai)o/los	n-s---mn-
dra/kwn	dra/kwn	n-s---mn-
e(likto/s	e(likto/s	n-s---mn-
a)ndrei/w|	a)ndrei=os	n-s----d-
ku/tei	ku/tos	n-d---n--
ku/tei	ku/tei+	n-s---nd-
ku/tei	ku/tos	n-s---nd-
bou/prw|ros	bou/prw|ros	n-s----n-
e)k	e)k	r--------
de\	de/	g--------
daski/ou	da/skios	n-s----g-
geneia/dos	geneia/s	n-s---fg-
krounoi\	krounoi/	n-p---m--
dierrai/nonto	diarrai/nomai	v3p-ie---
krhnai/ou	krhnai_/ou	n-s----g-
potou=	pota/omai	v2spme---
potou=	pota/omai	v2s-ie---
potou=	pote/omai	v2spme---
potou=	pote/omai	v2s-ie---
potou=	poto/n	n-s---ng-
potou=	poto/s	n-s----g-
potou=	prosi/hmi	v--amm---
e)gw\	e)gw/	n1s------
mnhsth=ra	mnhsth/r	n-s---ma-
du/sthnos	du/sthnos	n-s----n-
ai)ei\	ai)ei/	x--------
katqanei=n	kataqnh/skw	v--ana---
e)phuxo/mhn	e)peu/xomai	v1s-ie---
pri\n	pri/n	x--------
th=sde	o(/de	n-s---fg-
koi/ths	koi/th	n-s---fg-
e)mpelasqh=nai/	e)mpelasqh=nai	v--anp---
e)mpelasqh=nai/	e)mpelasqh=nai	v--anp---
pote	pote/	g--------
xro/nw|	xro/nos	n-s---md-
e)n	e)n	r--------
e)n	ei)s	r--------
u(ste/rw|	u(/steron	n-s---nd-
u(ste/rw|	u(/steros	n-s----d-
me/n	me/n	g--------
a)sme/nh|	a)/smenos	n-s---fd-
de/	de/	g--------
moi	e)gw/	n1s----d-
o(	o(	l-s---mn-
kleino\s	kleino/s	n-s---mn-
h)=lqe	e)/rxomai	v3saia---
h)=lqe	e)/rxomai	v3saia---
te	te	g--------
pai=s	pa=s	n-s---m--
pai=s	pai=s	n-s----n-
o(\s	o(/s	n-s---mn-
ei)s	ei)s	r--------
a)gw=na	a)gw/n	n-s---ma-
tw=|de	o(/de	n-s----d-
ma/xhs	ma/xh	n-s---fg-
ma/xhs	maxa/w	v2spia---
ma/xhs	maxa/w	v2s-ia---
e)klu/etai/	e)klu/etai	v3spie---
e)klu/etai/	e)klu_/etai	v3spie---
me	e)gw/	n1s----a-
kai\	kai/	c--------
tro/pon	tro/pos	n-s---ma-
me\n	me/n	g--------
a)\n	a)/n	g--------
a)\n	a)/_n	c--------
a)\n	a)/n	r--------
a)\n	a)/n	c--------
po/nwn	po/nos	n-p---mg-
ou)k	ou)	x--------
a)\n	a)/n	g--------
a)\n	a)/_n	c--------
a)\n	a)/n	r--------
a)\n	a)/n	c--------
ou)	ou)	x--------
ga\r	ga/r	g--------
o(/stis	o(/stis	n-s---mn-
h)=n	ei)mi/	v1s-ia---
h)=n	ei)mi/	v3p-ia---
h)=n	ei)mi/	v3s-ia---
h)=n	h)mi/	v1s-ia---
a)tarbh\s	a)tarbh/s	n-s----n-
th=s	o(	l-s---fg-
qe/as	qe/a_s	n-p---fa-
qe/as	qe/a_s	n-s---fg-
qe/as	qe/a_s	v2spia---
qe/as	qe/a_s	v2s-ia---
a)\n	a)/n	g--------
a)\n	a)/_n	c--------
a)\n	a)/n	r--------
a)\n	a)/n	c--------
le/goi	le/gos	n-p---m--
le/goi	le/goi_	v3spoa---
le/goi	le/goi_	v3spoa---
le/goi	le/goi_	v3spoa---
e)gw\	e)gw/	n1s------
ga\r	ga/r	g--------
h(/mhn	h(=mai	v1slim---
h(/mhn	ka/qhmai	v1s-im---
fo/bw|	fo/bos	n-s---md-
mh/	mh/	c--------
moi	e)gw/	n1s----d-
to\	to/	l-s---n--
ka/llos	ka/llos	n-s---n--
a)/lgos	a)/lgos	n-s---n--
e)ceu/roi	e)ceu/roi_	v3saoa---
pote/	pote	g--------
pote/	poto/s	n-s---mv-
te/los	te/los	n-s---n--
e)/qhke	ti/qhmi	v3saia---
a)gw/nios	a)gw/nios	n-s----n-
kalw=s	kalo/s	x--------
ei)	ei)	c--------
dh\	dh/	g--------
kalw=s	kalo/s	x--------
